,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
146,18 days,2,BRPEC,BEANR,"['26 OCT', ' 22:27', 'UTC-03:00']","['13 NOV', ' 03:03', 'UTC+01:00']",815,"[['PEC', 'FOR'], ['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'ANR']]",['CMA CGM']
147,21 days,2,BRPEC,BEANR,"['28 OCT', ' 21:17', 'UTC-03:00']","['18 NOV', ' 16:00', 'UTC+01:00']",845,"[['PEC', 'PTM'], ['PTM', 'LEI'], ['LEI', 'VGO', 'RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
148,19 days,2,BRPEC,BEANR,"['28 OCT', ' 21:17', 'UTC-03:00']","['16 NOV', ' 18:00', 'UTC+01:00']",1025,"[['PEC', 'PTM', 'RTM'], ['RTM', 'ORK'], ['ORK', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
149,21 days,1,BRPEC,NLVLI,"['12 NOV', ' 01:00', 'UTC-03:00']","['2 DEC', ' 15:36', 'UTC+01:00']",855,"[['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC']"
150,16 days,2,BRPEC,NLVLI,"['28 OCT', ' 21:17', 'UTC-03:00']","['13 NOV', ' 03:36', 'UTC+01:00']",760,"[['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC']"
151,21 days,2,BRPEC,NLVLI,"['28 OCT', ' 21:17', 'UTC-03:00']","['18 NOV', ' 17:36', 'UTC+01:00']",765,"[['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
152,22 days,2,BRPEC,NLVLI,"['28 OCT', ' 21:17', 'UTC-03:00']","['19 NOV', ' 13:32', 'UTC+01:00']",780,"[['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
153,17 days,2,BRPEC,NLVLI,"['26 OCT', ' 22:27', 'UTC-03:00']","['13 NOV', ' 02:06', 'UTC+01:00']",790,"[['PEC', 'FOR'], ['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'VLI']]",['CMA CGM']
154,15 days,2,BRPEC,NLVLI,"['27 OCT', ' 08:30', 'UTC-03:00']","['10 NOV', ' 23:36', 'UTC+01:00']",805,"[['PEC', 'LPA'], ['LPA', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC']"
155,20 days,2,BRPEC,NLVLI,"['28 OCT', ' 21:17', 'UTC-03:00']","['17 NOV', ' 23:35', 'UTC+01:00']",815,"[['PEC', 'PTM'], ['PTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
