,Origin,Destination,Departure time,Arrival time,Ports,Vessels,Dates
723,Vila do Conde Convicon Conteineres de ViladoConde,Vlissingen Kloosterboer Vlissingen VOF,19 Dec 2022 00:00,24 Jan 2023 15:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['ALIANCA LEBLON', '9292137', '-', 'BR', 'PPSV', '2005'], ['VICENTE PINZON', '9625396', 'ALCT1', 'BR', 'PPRP', '2014'], ['CAP SAN MALEAS', '9633941', 'NEOSAMBA', 'PA', '3FSS8', '2013']]","['19 Dec 2022 00:00', '21 Dec 2022 01:00', '25 Dec 2022 02:00', '30 Dec 2022 13:00', '03 Jan 2023 11:00', '24 Jan 2023 15:00']"
724,Vila do Conde Convicon Conteineres de ViladoConde,Vlissingen Kloosterboer Vlissingen VOF,26 Dec 2022 00:00,31 Jan 2023 15:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['SEASPAN SANTOS', '-', 'ALCT1', '-', '-', '-'], ['CAP SAN RAPHAEL', '9622253', 'NEOSAMBA', 'DK', 'OXCL2', '2013']]","['26 Dec 2022 00:00', '28 Dec 2022 01:00', '01 Jan 2023 02:00', '06 Jan 2023 13:00', '10 Jan 2023 11:00', '31 Jan 2023 15:00']"
725,"Vitoria Vitoria, Terminal de Vila Velha",Amsterdam Container Terminal Vrede Amsterdam,28 Nov 2022 13:13,26 Dec 2022 21:00,"['Vitoria Vitoria, Terminal de Vila Velha', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['LOG-IN PANTANAL', '9351799', '-', 'BR', 'A8LF3', '-'], ['CAP SAN MARCO', '9622215', 'NEOSAMBA', 'DK', 'OXDI2', '2013']]","['28 Nov 2022 13:13', '30 Nov 2022 13:00', '05 Dec 2022 11:00', '26 Dec 2022 21:00']"
726,"Vitoria Vitoria, Terminal de Vila Velha",Amsterdam Container Terminal Vrede Amsterdam,05 Dec 2022 20:00,01 Jan 2023 21:00,"['Vitoria Vitoria, Terminal de Vila Velha', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['LOG-IN PANTANAL', '9351799', '-', 'BR', 'A8LF3', '-'], ['CAP SAN ANTONIO', '9622241', 'NEOSAMBA', 'DK', 'OXCQ2', '2013']]","['05 Dec 2022 20:00', '07 Dec 2022 13:00', '13 Dec 2022 11:00', '01 Jan 2023 21:00']"
727,"Vitoria Vitoria, Terminal de Vila Velha",Amsterdam Container Terminal Vrede Amsterdam,12 Dec 2022 20:00,10 Jan 2023 05:00,"['Vitoria Vitoria, Terminal de Vila Velha', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['LOG-IN PANTANAL', '9351799', '-', 'BR', 'A8LF3', '-'], ['CAP SAN TAINARO', '9633965', 'NEOSAMBA', 'PA', '3EOT8', '2014']]","['12 Dec 2022 20:00', '14 Dec 2022 13:00', '19 Dec 2022 11:00', '10 Jan 2023 05:00']"
728,"Vitoria Vitoria, Terminal de Vila Velha",Amsterdam Container Terminal Vrede Amsterdam,19 Dec 2022 20:00,17 Jan 2023 05:00,"['Vitoria Vitoria, Terminal de Vila Velha', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['LOG-IN PANTANAL', '9351799', '-', 'BR', 'A8LF3', '-'], ['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['19 Dec 2022 20:00', '21 Dec 2022 13:00', '26 Dec 2022 11:00', '17 Jan 2023 05:00']"
729,"Vitoria Vitoria, Terminal de Vila Velha",Amsterdam Container Terminal Vrede Amsterdam,26 Dec 2022 20:00,24 Jan 2023 05:00,"['Vitoria Vitoria, Terminal de Vila Velha', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['LOG-IN PANTANAL', '9351799', '-', 'BR', 'A8LF3', '-'], ['CAP SAN MALEAS', '9633941', 'NEOSAMBA', 'PA', '3FSS8', '2013']]","['26 Dec 2022 20:00', '28 Dec 2022 13:00', '03 Jan 2023 11:00', '24 Jan 2023 05:00']"
730,"Vitoria Vitoria, Terminal de Vila Velha",Antwerp Europa Terminal Quay 869,28 Nov 2022 13:13,29 Dec 2022 22:00,"['Vitoria Vitoria, Terminal de Vila Velha', 'Santos Santos, Santos Brasil Terminal', 'Antwerp Europa Terminal Quay 869']","[['LOG-IN PANTANAL', '9351799', '-', 'BR', 'A8LF3', '-'], ['CAP SAN MARCO', '9622215', 'NEOSAMBA', 'DK', 'OXDI2', '2013']]","['28 Nov 2022 13:13', '30 Nov 2022 13:00', '05 Dec 2022 11:00', '29 Dec 2022 22:00']"
731,"Vitoria Vitoria, Terminal de Vila Velha",Antwerp Europa Terminal Quay 869,05 Dec 2022 20:00,05 Jan 2023 22:00,"['Vitoria Vitoria, Terminal de Vila Velha', 'Santos Santos, Santos Brasil Terminal', 'Antwerp Europa Terminal Quay 869']","[['LOG-IN PANTANAL', '9351799', '-', 'BR', 'A8LF3', '-'], ['CAP SAN ANTONIO', '9622241', 'NEOSAMBA', 'DK', 'OXCQ2', '2013']]","['05 Dec 2022 20:00', '07 Dec 2022 13:00', '13 Dec 2022 11:00', '05 Jan 2023 22:00']"
732,"Vitoria Vitoria, Terminal de Vila Velha",Antwerp Europa Terminal Quay 869,12 Dec 2022 20:00,13 Jan 2023 22:00,"['Vitoria Vitoria, Terminal de Vila Velha', 'Santos Santos, Santos Brasil Terminal', 'Antwerp Europa Terminal Quay 869']","[['LOG-IN PANTANAL', '9351799', '-', 'BR', 'A8LF3', '-'], ['CAP SAN TAINARO', '9633965', 'NEOSAMBA', 'PA', '3EOT8', '2014']]","['12 Dec 2022 20:00', '14 Dec 2022 13:00', '19 Dec 2022 11:00', '13 Jan 2023 22:00']"
