,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
3027,24 days,2,PEPAI,BEZEE,"['22 OCT', ' 05:00', 'UTC-05:00']","['14 NOV', ' 19:32', 'UTC+01:00']",1080,"[['PAI', 'BLB'], ['BLB', 'RTM'], ['RTM', 'ZEE']]","['Maersk, MSC', 'MSC']"
3028,26 days,3,PEPAI,BEZEE,"['24 OCT', ' 19:00', 'UTC-05:00']","['19 NOV', ' 08:01', 'UTC+01:00']",1360,"[['PAI', 'CTB', 'MOB', 'ANR'], ['ANR', 'ORK'], ['ORK', 'RTM'], ['RTM', 'ZEE']]","['MSC', 'MSC', 'MSC']"
3029,24 days,2,PEPAI,NLAMS,"['24 OCT', ' 19:00', 'UTC-05:00']","['17 NOV', ' 08:22', 'UTC+01:00']",1015,"[['PAI', 'CTB', 'MOB', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['MSC', 'Containerships, MSC']"
3030,21 days,2,PEPAI,NLAMS,"['24 OCT', ' 19:00', 'UTC-05:00']","['14 NOV', ' 09:29', 'UTC+01:00']",1060,"[['PAI', 'CTB'], ['CTB', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC']"
3031,23 days,2,PEPAI,NLAMS,"['22 OCT', ' 05:00', 'UTC-05:00']","['13 NOV', ' 19:21', 'UTC+01:00']",1155,"[['PAI', 'BLB'], ['BLB', 'CTB', 'CAU', 'ZEE'], ['ZEE', 'AMS']]","['Maersk, MSC', 'MSC']"
3032,26 days,3,PEPAI,NLAMS,"['24 OCT', ' 19:00', 'UTC-05:00']","['19 NOV', ' 07:31', 'UTC+01:00']",1345,"[['PAI', 'CTB', 'MOB', 'ANR'], ['ANR', 'ORK'], ['ORK', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC', 'MSC']"
3033,26 days,3,PEPAI,NLAMS,"['22 OCT', ' 05:00', 'UTC-05:00']","['17 NOV', ' 08:22', 'UTC+01:00']",2205,"[['PAI', 'BLB'], ['BLB', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['Maersk, MSC', 'MSC', 'Containerships, MSC']"
3034,24 days,3,PEPAI,NLAMS,"['23 OCT', ' 23:50', 'UTC-05:00']","['16 NOV', ' 07:58', 'UTC+01:00']",2550,"[['PAI', 'GYE'], ['GYE', 'BLB'], ['BLB', 'ANR'], ['ANR', 'AMS']]","['MSC', 'MSC']"
3035,28 days,4,PEPAI,NLAMS,"['20 OCT', ' 18:25', 'UTC-05:00']","['17 NOV', ' 11:28', 'UTC+01:00']",1785,"[['PAI', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'LEI'], ['LEI', 'TIL', 'MOE'], ['MOE', 'AMS']]","['MSC', 'MSC', 'MSC, W.E.C. Lines']"
3036,35 days,1,PECLL,NLRTM,"['21 OCT', ' 08:00', 'UTC-05:00']","['24 NOV', ' 21:30', 'UTC+01:00']",1285,"[['CLL', 'GYE', 'BUN', 'BLB'], ['BLB', 'PCN', 'PCA', 'CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM']]","['Hapag-Lloyd', 'CMA CGM, Hapag-Lloyd, ONE']"
3037,27 days,0,PECLL,BEANR,"['19 OCT', ' 19:00', 'UTC-05:00']","['15 NOV', ' 12:00', 'UTC+01:00']",1075,"[['CLL', 'PSJ', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP', 'HAM', 'ANR']]","['CMA CGM, Hapag-Lloyd']"
