,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
1283,25 days,2,ECPSJ,BEZEE,"['23 OCT', ' 22:00', 'UTC-05:00']","['18 NOV', ' 00:44', 'UTC+01:00']",1230,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1284,20 days,3,ECPSJ,BEZEE,"['21 OCT', ' 04:44', 'UTC-05:00']","['9 NOV', ' 11:29', 'UTC+01:00']",1085,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'DKK'], ['DKK', 'ZEE']]","['MSC', 'MSC']"
1285,22 days,3,ECPSJ,BEZEE,"['24 OCT', ' 10:11', 'UTC-05:00']","['14 NOV', ' 19:32', 'UTC+01:00']",1140,"[['PSJ', 'GYE'], ['GYE', 'BLB'], ['BLB', 'RTM'], ['RTM', 'ZEE']]","['MSC', 'MSC']"
1286,17 days,2,ECPSJ,NLAMS,"['21 OCT', ' 04:44', 'UTC-05:00']","['7 NOV', ' 02:43', 'UTC+01:00']",1085,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'AMS']]",['MSC']
1287,17 days,2,ECPSJ,NLAMS,"['21 OCT', ' 19:45', 'UTC-05:00']","['7 NOV', ' 13:57', 'UTC+01:00']",1085,"[['PSJ', 'GYE'], ['GYE', 'PAI', 'DVR', 'VLI'], ['VLI', 'AMS']]",['Seatrade']
1288,23 days,2,ECPSJ,NLAMS,"['23 OCT', ' 22:00', 'UTC-05:00']","['15 NOV', ' 17:55', 'UTC+01:00']",1165,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1289,24 days,2,ECPSJ,NLAMS,"['23 OCT', ' 22:00', 'UTC-05:00']","['16 NOV', ' 11:47', 'UTC+01:00']",1230,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1290,21 days,3,ECPSJ,NLAMS,"['21 OCT', ' 04:44', 'UTC-05:00']","['11 NOV', ' 08:20', 'UTC+01:00']",1070,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC']"
1291,27 days,3,ECPSJ,NLAMS,"['21 OCT', ' 04:44', 'UTC-05:00']","['17 NOV', ' 08:22', 'UTC+01:00']",1080,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['MSC', 'Containerships, MSC']"
1292,19 days,3,ECPSJ,NLAMS,"['21 OCT', ' 04:44', 'UTC-05:00']","['9 NOV', ' 01:47', 'UTC+01:00']",1120,"[['PSJ', 'GYE'], ['GYE', 'CTB'], ['CTB', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC']"
