,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
1285,25 days,2,ECPSJ,BEANR,"['21 OCT', ' 13:00', 'UTC-05:00']","['15 NOV', ' 18:03', 'UTC+01:00']",1175,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU'], ['CAU', 'LGP', 'RTM'], ['RTM', 'ANR']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
1286,29 days,2,ECPSJ,BEANR,"['23 OCT', ' 22:00', 'UTC-05:00']","['22 NOV', ' 00:00', 'UTC+01:00']",1195,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
1287,29 days,2,ECPSJ,BEANR,"['21 OCT', ' 13:00', 'UTC-05:00']","['19 NOV', ' 07:00', 'UTC+01:00']",1295,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'BEL'], ['BEL', 'ANR']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, MSC']"
1288,25 days,3,ECPSJ,BEANR,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 23:33', 'UTC+01:00']",1200,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP'], ['LGP', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
1289,30 days,3,ECPSJ,BEANR,"['23 OCT', ' 22:00', 'UTC-05:00']","['23 NOV', ' 03:04', 'UTC+01:00']",1290,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'LEI'], ['LEI', 'VGO', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
1290,17 days,1,ECPSJ,NLVLI,"['14 OCT', ' 19:45', 'UTC-05:00']","['31 OCT', ' 09:00', 'UTC+01:00']",935,"[['PSJ', 'GYE'], ['GYE', 'PAI', 'DVR', 'VLI']]",['Seatrade']
1291,25 days,1,ECPSJ,NLVLI,"['21 OCT', ' 13:00', 'UTC-05:00']","['15 NOV', ' 13:38', 'UTC+01:00']",1035,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP', 'HAM', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, Hapag-Lloyd']"
1292,28 days,2,ECPSJ,NLVLI,"['21 OCT', ' 13:00', 'UTC-05:00']","['18 NOV', ' 17:36', 'UTC+01:00']",950,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
1293,29 days,2,ECPSJ,NLVLI,"['21 OCT', ' 13:00', 'UTC-05:00']","['19 NOV', ' 13:32', 'UTC+01:00']",970,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
1294,18 days,2,ECPSJ,NLVLI,"['20 OCT', ' 02:44', 'UTC-05:00']","['6 NOV', ' 23:36', 'UTC+01:00']",1005,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'VLI']]",['MSC']
