,Company,Origin,Destination,Service Code,Duration,Frequency
49,Hapag-Lloyd,COCTG,BEANR,AL5-ATLANTIC LOOP 5,19 days,
50,Maersk,COSMR,BEANR,COLOMBIA EXPRESS,12 days,
51,Hamburg Sud,COTRB,BEANR,NORTH EUROPE -- CARIBBEAN SOUTH AMERICA WEST COAST (COEX),15 days,
52,CMA CGM,COCTG,BEANR,EUROSAL XL,19 days,
53,CMA CGM,COSMR,BEZEE,North Europe French West Indies,15 days,
54,CMA CGM,COCTG,BEANR,CALIFORNIA BRIDGE,19 days,
55,Hapag-Lloyd,COCTG,BEANR,AL5-ATLANTIC LOOP 5,20 - 23 days,1 time per week
56,Hapag-Lloyd,COSMR,BEANR,CES-CARIBBEAN EXPRESS SERVICE,18 days,
57,Maersk,COTRB,BEANR,COLOMBIA EXPRESS,15 days,
58,ONE,COCTG,BEANR,ATLANTIC 5 (AL5),19 days,
59,Hamburg Sud,COSMR,BEANR,NORTH EUROPE -- CARIBBEAN SOUTH AMERICA WEST COAST (COEX),12 days,
60,CMA CGM,COCTG,BEZEE,North Europe French West Indies,16 days,
61,Hapag-Lloyd,COCTG,BEANR,SWX-SOUTH AMERICA WEST COAST EXPRESS,19 days,1 time per week
62,Hamburg Sud,COTRB,BEANR,SOUTH AMERICA WEST COAST CARIBBEAN -- NORTH EUROPE (COEX),15 days,
63,Maersk,COSMR,BEANR,COLOMBIA EXPRESS,12 days,
64,Maersk,COCTG,BEANR,EUROSAL,19 days,
