,Origin,Destination,Departure time,Arrival time,Ports,Vessels,Dates
1064,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,19 Feb 2023 22:00,20 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['19 Feb 2023 22:00', '17 Mar 2023 07:00', '19 Mar 2023 15:00', '20 Mar 2023 05:00']"
1065,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,19 Feb 2023 22:00,20 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['19 Feb 2023 22:00', '20 Mar 2023 05:00']"
1066,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,19 Feb 2023 22:00,20 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['19 Feb 2023 22:00', '17 Mar 2023 07:00', '19 Mar 2023 15:00', '20 Mar 2023 05:00']"
1067,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,19 Feb 2023 22:00,20 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['19 Feb 2023 22:00', '20 Mar 2023 05:00']"
1068,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,26 Feb 2023 22:00,27 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN MALEAS', '9633941', 'NEOSAMBA', 'PA', '3FSS8', '2013']]","['26 Feb 2023 22:00', '24 Mar 2023 07:00', '26 Mar 2023 15:00', '27 Mar 2023 05:00']"
1069,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,26 Feb 2023 22:00,27 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN MALEAS', '9633941', 'NEOSAMBA', 'PA', '3FSS8', '2013']]","['26 Feb 2023 22:00', '27 Mar 2023 05:00']"
1070,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,05 Mar 2023 22:00,03 Apr 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN RAPHAEL', '9622253', 'NEOSAMBA', 'DK', 'OXCL2', '2013']]","['05 Mar 2023 22:00', '31 Mar 2023 07:00', '02 Apr 2023 15:00', '03 Apr 2023 05:00']"
1071,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,05 Mar 2023 22:00,03 Apr 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN RAPHAEL', '9622253', 'NEOSAMBA', 'DK', 'OXCL2', '2013']]","['05 Mar 2023 22:00', '03 Apr 2023 05:00']"
1072,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,12 Mar 2023 22:00,10 Apr 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN ARTEMISSIO', '9633939', 'NEOSAMBA', 'PA', '3EQA4', '2013']]","['12 Mar 2023 22:00', '07 Apr 2023 07:00', '09 Apr 2023 15:00', '10 Apr 2023 05:00']"
1073,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,12 Mar 2023 22:00,10 Apr 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN ARTEMISSIO', '9633939', 'NEOSAMBA', 'PA', '3EQA4', '2013']]","['12 Mar 2023 22:00', '10 Apr 2023 05:00']"
1074,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,19 Mar 2023 22:00,17 Apr 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN LORENZO', '9622227', 'NEOSAMBA', 'DK', 'OXOF2', '2013']]","['19 Mar 2023 22:00', '14 Apr 2023 07:00', '16 Apr 2023 15:00', '17 Apr 2023 05:00']"
1075,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,19 Mar 2023 22:00,17 Apr 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN LORENZO', '9622227', 'NEOSAMBA', 'DK', 'OXOF2', '2013']]","['19 Mar 2023 22:00', '17 Apr 2023 05:00']"
1076,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,29 Jan 2023 22:00,28 Feb 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN MARCO', '9622215', 'NEOSAMBA', 'DK', 'OXDI2', '2013']]","['29 Jan 2023 22:00', '25 Feb 2023 07:00', '27 Feb 2023 15:00', '28 Feb 2023 15:00']"
1077,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,29 Jan 2023 22:00,28 Feb 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN MARCO', '9622215', 'NEOSAMBA', 'DK', 'OXDI2', '2013']]","['29 Jan 2023 22:00', '28 Feb 2023 15:00']"
1078,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,05 Feb 2023 22:00,07 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN ANTONIO', '9622241', 'NEOSAMBA', 'DK', 'OXCQ2', '2013']]","['05 Feb 2023 22:00', '04 Mar 2023 07:00', '06 Mar 2023 15:00', '07 Mar 2023 15:00']"
1079,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,05 Feb 2023 22:00,07 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN ANTONIO', '9622241', 'NEOSAMBA', 'DK', 'OXCQ2', '2013']]","['05 Feb 2023 22:00', '07 Mar 2023 15:00']"
1080,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,12 Feb 2023 22:00,14 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN TAINARO', '9633965', 'NEOSAMBA', 'PA', '3EOT8', '2014']]","['12 Feb 2023 22:00', '11 Mar 2023 07:00', '13 Mar 2023 15:00', '14 Mar 2023 15:00']"
1081,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,12 Feb 2023 22:00,14 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN TAINARO', '9633965', 'NEOSAMBA', 'PA', '3EOT8', '2014']]","['12 Feb 2023 22:00', '14 Mar 2023 15:00']"
1082,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,19 Feb 2023 22:00,20 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['19 Feb 2023 22:00', '17 Mar 2023 07:00', '19 Mar 2023 15:00', '20 Mar 2023 15:00']"
